NAME,LINK,TYPE,FROM
Pizza Sandwiches,https://www.instagram.com/reel/C3X0pTfIJev/?igsh=MWN6ZWp5OWE1Zjl6MA==,PIZZA,Instagram
Garlic Mashroom,https://www.instagram.com/reel/C1yWdmcInGo/?igsh=d2ppbjM5bTlueTI3,Italian Main Course,Instagram
Chicken Manchurian,https://www.instagram.com/p/C2rQhJmLBxq/?igsh=MWpwbzRvZDU1eDcxMA==,INdian Non Veg Snack,
Soya paneer Kurma,https://www.instagram.com/reel/Cz5-IjLxRgq/?igsh=MWVmNjd2cmNmY2s1Zg==,Indian Veg Snack,
Egg Sandwich,https://www.instagram.com/reel/C2tvf6IvGFd/?igsh=MXY0Z3NmOWF3NHJ2cA==,INdian Non Veg Snack,
Butter garlic chicken,https://www.instagram.com/reel/C3P1Ttyp63C/?igsh=b3FvZGtzOTg1czZ6,,
Chicken and chips,https://www.instagram.com/p/C20txRjN5Mf/?igsh=Zm1zMnNybHh3bWU4,,
FH aha,https://www.instagram.com/reel/C3SgCynJ8UM/?igsh=MWlmYWVsdDkwNDZocg==,,
Thai chicken,https://www.instagram.com/reel/C2-ARNJMqoM/?igsh=Zmk5ZjBwNDBhcXhx,,
Podi,https://www.instagram.com/reel/C0ysZWRShra/?igsh=MWtrZ3Fud2czbGFkOQ==,,
Peri peri,https://www.instagram.com/reel/Cz261UKy8V5/?igsh=dml0azE5M2cxNHhm,,
Crispy chicken Vada,https://www.instagram.com/reel/C0Jt6SrPe8k/?igsh=MXI0Y2liOHpyNGEzNA==,,
Maggie,https://www.instagram.com/reel/C2t_PtmylAn/?igsh=MWF0emwxMXhrNDl2Yg==,,
Bread,https://www.instagram.com/reel/C1cZTiLo_T9/?igsh=ZGgwd2Z3NHh6cXl6,,
Shezuwan sauce,https://www.instagram.com/reel/C2o0UkTKe3j/?igsh=MXdmZGkzaHVsbGJjOA==,,
Crispy baby corn,https://www.instagram.com/reel/C2pWHScP8Kr/?igsh=a2tyMDU4eDIzMW4z,,
Sausy Dip,https://www.instagram.com/reel/C19TTBxSMqc/?igsh=MWZsM2V3cXpmcHA0Yw==,,
Mexican Salad,https://www.instagram.com/reel/C13-BZ2rVRJ/?igsh=MXNzc3k0bW5rNGkxNQ==,,
Castue chicken,https://www.instagram.com/reel/C0WUGr1pMNi/?igsh=MTM0dTk1Ymo1eWozcQ==,,
Lasagna,https://www.instagram.com/reel/C1HjQp2uGL8/?igsh=MXQzaW85c2l2OWNoag==,,
Rasmalai Cake,https://www.instagram.com/reel/CzWH2R-B8_g/?igsh=MXRxMzdkbXlwNmF6bQ==,,
Crispy Paneer,https://www.instagram.com/reel/C11y8F-oGK0/?igsh=MThvZnpudmIwZXRwMQ==,,
Burfi.,https://www.instagram.com/reel/C1oQNx0M7IZ/?igsh=MXQ4Z2s3ODF0N21lbw==,,
